demarcation_code,financial_year,opinion_code,opinion_label,report_url
KZN241,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/KZN241%20Endumeni/KZN241%20Endumeni%20Audit%20report%202011-12.pdf
KZN236,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/KZN236%20Imbabazane/KZN236%20Imbabazane%20Audit%20report%202011-12.pdf
KZN234,2012,unqualified,Unqualified - No findings,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/KZN234%20uMtshezi/KZN234%20uMtshezi%20Audit%20Report%202011-12.pdf
KZN233,2012,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/KZN233%20Indaka/KZN233%20Indaka%20Audit%20Report%202011-12.pdf
KZN232,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/KZN232%20Emnambithi-Ladysmith/KZN232%20Emnambithi-Ladysmith%20%20Audit%20Report%202011-12.pdf
KZN227,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/KZN227%20Richmond/KZN227%20Richmond%20Audit%20Report%202011-12.pdf
KZN226,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/KZN226%20Mkhambathini/KZN226%20Mkhambathini%20Audit%20Report%202011-12.pdf
KZN225,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/KZN225%20Msunduzi/KZN225%20Msunduzi%20Audit%20report%202011-12.pdf
KZN224,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/KZN224%20Impendle/KZN224%20Impendle%20Audit%20report%202011-12.pdf
KZN223,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/KZN223%20Mpofana/KZN223%20Mpofana%20Audit%20report%202011-12.pdf
KZN222,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/KZN222%20uMngeni/KZN222%20uMngeni%20Audit%20report%202011-12.pdf
KZN221,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/KZN221uMshwathi/KZN221%20uMshwathi%20Audit%20Report%202011-12.pdf
KZN216,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/KZN216%20Hibiscus%20Coast/KZN216%20Hibiscus%20Coast%20Consolidated%20Audit%20Report%202011-12.pdf
KZN215,2012,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/KZN215%20Ezinqoleni/KZN215%20Ezinquleni%20Audit%20report%202011-12.pdf
KZN214,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/KZN214%20uMuziwabantu/KZN214%20uMuziwabantu%20Audit%20report%202011-12.pdf
KZN213,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/KZN213%20Umzumbe/KZN213%20uMzumbe%20Audit%20Report%202011-12.pdf
KZN212,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/KZN212%20Umdoni/KZN212%20Umdoni%20Audit%20report%202011-12.pdf
