demarcation_code,financial_year,opinion_code,opinion_label,report_url
NW394,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/NW394%20Greater%20Taung/NW394%20Greater%20Taung%20Audit%20report%202011-12.pdf
NW392,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/NW392%20Naledi/NW392%20Naledi%20Audit%20report%202011-12.pdf
NW384,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/NW384%20Ditsobotla/NW384%20Ditsobotla%20Audit%20report%202011-12.pdf
NW383,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/NW383%20Mafikeng/NW383%20Mahikeng%20Audit%20report%202011-12.pdf
NW375,2012,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/NW375%20Moses%20Kotane/NW375%20Moses%20Kotane%20Audit%20report%202011-12.pdf
NW374,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/NW374%20Kgetlengrivier/NW374%20Kgetlengrivier%20Audit%20report%202011-12.pdf
NW373,2012,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/NW373%20Rustenburg/NW373%20Rustenburg%20Audit%20report%202011-12.pdf
NW372,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/NW372%20Madibeng/NW372%20Madibeng%20Audit%20report%202011-12.pdf
NW371,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/NW371%20Moretele/NW371%20Moretele%20Audit%20report%202011-12.pdf
NC453,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/NC453%20Gamagara/NC453%20Gamagara%20Audit%20report%202011-12.pdf
NC452,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/NC452%20Ga-Segonyana/NC452%20Ga-Segonyana%20Audit%20report%202011-12.pdf
